Time Slot,Monday,Tuesday,Wednesday,Thursday,Friday
6:00-7:00 AM,Meditation & Exercise,Meditation & Exercise,Meditation & Exercise,Meditation & Exercise,Meditation & Exercise
7:00-8:00 AM,Breakfast & Planning,Breakfast & Planning,Breakfast & Planning,Breakfast & Planning,Breakfast & Planning
8:00-9:00 AM,Deep Work - Project A,Deep Work - Project A,Deep Work - Project B,Deep Work - Project B,Review & Admin
9:00-10:00 AM,Deep Work - Project A,Deep Work - Project A,Deep Work - Project B,Deep Work - Project B,Review & Admin
10:00-11:00 AM,Client Call #1,Email Batch,Client Call #2,Deep Work - Project A,Strategic Planning
11:00-12:00 PM,Deep Work - Project B,Deep Work - Project B,Deep Work - Project A,Client Call #3,Lunch
12:00-1:00 PM,Lunch,Lunch,Lunch,Lunch,Team Standup
1:00-2:00 PM,Meeting - Team Sync,Admin Tasks,Meeting - Client Review,Admin Tasks,Content Work
2:00-3:00 PM,Meeting - 1-on-1s,Email & Messages,Deep Work - Project C,Meeting - Planning,Content Work
3:00-4:00 PM,Break & Walk,Deep Work - Project C,Break & Walk,Deep Work - Project C,Break & Walk
4:00-5:00 PM,Slack & Email Batch,Client Call #4,Slack & Email Batch,Email Batch,Next Week Planning
5:00-6:00 PM,Personal Time,Personal Time,Personal Time,Personal Time,Personal Time
