Goal,Category,Target,Q1 Milestone,Q2 Milestone,Q3 Milestone,Q4 Milestone,Status,Progress %,Owner,Notes
Generate $100k MRR,Business,100000,20000 MRR,40000 MRR,70000 MRR,100000 MRR,In Progress,45%,David,Currently at 45k - on track for Q3
Grow team to 5 people,People,5 hires,Hire 1 engineer,Hire 1 designer + 1 PM,Hire 2 support staff,Complete,Not Started,0%,Sarah,Budget approved - hiring begins next month
Launch new product,Product,1 launch,Design complete,MVP built and tested,Beta launch,Full launch,In Progress,60%,James,on schedule for Q2 launch
Build personal brand,Marketing,1M impressions,Launch newsletter,Publish 4 articles,Guest speaking,100k engaged audience,Not Started,15%,Maria,Newsletter list at 8k - building slow and steady
Increase website traffic,Marketing,50k monthly,15k monthly,25k monthly,40k monthly,50k monthly,In Progress,50%,Carlos,Currently at 25k - SEO improvements showing results
Improve team satisfaction,People,90% satisfaction,Measure baseline,Implement changes,Measure progress,Reach 90%,In Progress,60%,Sarah,Last survey: 75% - new benefits in place
Master new skill - AI,Development,Expert level,Complete course,Apply to 3 projects,Build personal AI tool,Share expertise,In Progress,40%,David,Course finished - applying in projects
Save for sabbatical,Personal,100000,25000 saved,50000 saved,75000 saved,100000 saved,In Progress,35%,Jessica,Currently 35k - on track for goal
Improve health metrics,Health,Normal range,Lose 10 lbs,Maintain + exercise,Continue fitness,Reach goal weight,In Progress,65%,Alex,"Weight: 195 (started 215), exercising 4x/week"
Publish book,Personal,1 book,Outline complete,50 pages written,Manuscript draft done,Published,In Progress,35%,Maria,30k words written - 60% of target
